Molecule Name,Target,Gene,Uniprot,CHEMBL,Target Class,Probability,Active 2D/3D
Bromotopsentin,Alpha-1b adrenergic receptor,ADRA1B,P35368,CHEMBL232,Family A G protein-coupled receptor,1,150 /  5     
Bromotopsentin,Alpha-1a adrenergic receptor,ADRA1A,P35348,CHEMBL229,Family A G protein-coupled receptor,0.6493489866,256 /  4     
Bromotopsentin,Butyrylcholinesterase,BCHE,P06276,CHEMBL1914,Hydrolase,0.1132859535,85 /  0     
Bromotopsentin,Acetylcholinesterase,ACHE,P22303,CHEMBL220,Hydrolase,0.1132859535,257 /  0     
Bromotopsentin,Monoamine oxidase A,MAOA,P21397,CHEMBL1951,Oxidoreductase,0.1132859535,75 /  0     
Bromotopsentin,Vanilloid receptor,TRPV1,Q8NER1,CHEMBL4794,Voltage-gated ion channel,0.1132859535,434 /  0     
Bromotopsentin,Beta amyloid A4 protein,APP,P05067,CHEMBL2487,Membrane receptor,0.1132859535,59 /  0     
Bromotopsentin,Thromboxane A2 receptor,TBXA2R,P21731,CHEMBL2069,Family A G protein-coupled receptor,0.1132859535,23 /  0     
Bromotopsentin,1-acylglycerol-3-phosphate O-acyltransferase beta,AGPAT2,O15120,CHEMBL4772,Enzyme,0.1132859535,11 /  0     
Bromotopsentin,Glutamate NMDA receptor; GRIN1/GRIN2B,GRIN1 GRIN2B,Q05586 Q13224,CHEMBL1907603,Ligand-gated ion channel,0.1132859535,27 /  0     
Bromotopsentin,Carbonic anhydrase II,CA2,P00918,CHEMBL205,Lyase,0.1132859535,432 /  0     
Bromotopsentin,Carbonic anhydrase I,CA1,P00915,CHEMBL261,Lyase,0.1132859535,401 /  0     
Bromotopsentin,Carbonic anhydrase XII,CA12,O43570,CHEMBL3242,Lyase,0.1132859535,230 /  0     
Bromotopsentin,Carbonic anhydrase IX,CA9,Q16790,CHEMBL3594,Lyase,0.1132859535,295 /  0     
Bromotopsentin,Cytochrome P450 11B1,CYP11B1,P15538,CHEMBL1908,Cytochrome P450,0.1132859535,78 /  0     
Bromotopsentin,Cytochrome P450 11B2,CYP11B2,P19099,CHEMBL2722,Cytochrome P450,0.1132859535,78 /  0     
Bromotopsentin,Cytochrome P450 17A1,CYP17A1,P05093,CHEMBL3522,Cytochrome P450,0.1132859535,40 /  0     
Bromotopsentin,Aldose reductase,AKR1B1,P15121,CHEMBL1900,Enzyme,0.1132859535,59 /  0     
Bromotopsentin,Lysine-specific demethylase 4B,KDM4B,O94953,CHEMBL3313832,Eraser,0.1132859535,16 /  0     
Bromotopsentin,Beta-secretase 1,BACE1,P56817,CHEMBL4822,Protease,0.1132859535,551 /  0     
Bromotopsentin,Aldo-keto reductase family 1 member B10,AKR1B10,O60218,CHEMBL5983,Enzyme,0.1132859535,19 /  0     
Bromotopsentin,Cannabinoid receptor 1,CNR1,P21554,CHEMBL218,Family A G protein-coupled receptor,0.1132859535,187 /  0     
Bromotopsentin,Heat shock protein HSP 90-beta,HSP90AB1,P08238,CHEMBL4303,Other cytosolic protein,0.1132859535,109 /  0     
Bromotopsentin,Arachidonate 15-lipoxygenase,ALOX15,P16050,CHEMBL2903,Enzyme,0.1132859535,26 /  0     
Bromotopsentin,Arachidonate 12-lipoxygenase,ALOX12,P18054,CHEMBL3687,Enzyme,0.1132859535,21 /  0     
Bromotopsentin,Sphingosine 1-phosphate receptor Edg-3,S1PR3,Q99500,CHEMBL3892,Family A G protein-coupled receptor,0.1132859535,68 /  0     
Bromotopsentin,Thrombin and coagulation factor X,F10,P00742,CHEMBL244,Protease,0.1132859535,717 /  0     
Bromotopsentin,Calpain 1,CAPN1,P07384,CHEMBL3891,Protease,0.1132859535,51 /  0     
Bromotopsentin,Estrogen receptor alpha,ESR1,P03372,CHEMBL206,Nuclear receptor,0.1132859535,381 /  0     
Bromotopsentin,Cholecystokinin B receptor,CCKBR,P32239,CHEMBL298,Family A G protein-coupled receptor,0.1132859535,83 /  0     
Bromotopsentin,Serine/threonine-protein kinase WEE1,WEE1,P30291,CHEMBL5491,Kinase,0.1132859535,89 /  0     
Bromotopsentin,Histone deacetylase 5,HDAC5,Q9UQL6,CHEMBL2563,Eraser,0.1132859535,38 /  0     
Bromotopsentin,Histone deacetylase 7,HDAC7,Q8WUI4,CHEMBL2716,Eraser,0.1132859535,46 /  0     
Bromotopsentin,Histone deacetylase 8,HDAC8,Q9BY41,CHEMBL3192,Eraser,0.1132859535,347 /  0     
Bromotopsentin,Histone deacetylase 11,HDAC11,Q96DB2,CHEMBL3310,Eraser,0.1132859535,53 /  0     
Bromotopsentin,Histone deacetylase 9,HDAC9,Q9UKV0,CHEMBL4145,Eraser,0.1132859535,38 /  0     
Bromotopsentin,Histone deacetylase 10,HDAC10,Q969S8,CHEMBL5103,Eraser,0.1132859535,56 /  0     
Bromotopsentin,Histone acetyltransferase p300,EP300,Q09472,CHEMBL3784,Writer,0.1132859535,11 /  0     
Bromotopsentin,Signal transducer and activator of transcription 6,STAT6,P42226,CHEMBL5401,Transcription factor,0.1132859535,15 /  0     
Bromotopsentin,Thymidylate synthase   (by homology),TYMS,P04818,CHEMBL1952,Transferase,0.1132859535,67 /  0     
Bromotopsentin,Poly [ADP-ribose] polymerase-1,PARP1,P09874,CHEMBL3105,Enzyme,0.1132859535,383 /  0     
Bromotopsentin,Tyrosine-protein kinase ABL,ABL1,P00519,CHEMBL1862,Kinase,0.1132859535,103 /  0     
Bromotopsentin,Tyrosine-protein kinase YES,YES1,P07947,CHEMBL2073,Kinase,0.1132859535,7 /  0     
Bromotopsentin,Tyrosine-protein kinase LCK,LCK,P06239,CHEMBL258,Kinase,0.1132859535,112 /  0     
Bromotopsentin,Ephrin receptor,EPHB4,P54760,CHEMBL5147,Kinase,0.1132859535,44 /  0     
Bromotopsentin,Catechol O-methyltransferase,COMT,P21964,CHEMBL2023,Transferase,0.1132859535,6 /  0     
Bromotopsentin,Matrix metalloproteinase 9,MMP9,P14780,CHEMBL321,Protease,0.1132859535,354 /  0     
Bromotopsentin,Matrix metalloproteinase 1,MMP1,P03956,CHEMBL332,Protease,0.1132859535,346 /  0     
Bromotopsentin,Matrix metalloproteinase 2,MMP2,P08253,CHEMBL333,Protease,0.1132859535,440 /  0     
Bromotopsentin,5-lipoxygenase activating protein,ALOX5AP,P20292,CHEMBL4550,Other cytosolic protein,0.1132859535,419 /  0     
Bromotopsentin,Receptor protein-tyrosine kinase erbB-2,ERBB2,P04626,CHEMBL1824,Kinase,0.1132859535,93 /  0     
Bromotopsentin,Estrogen receptor beta,ESR2,Q92731,CHEMBL242,Nuclear receptor,0.1132859535,349 /  0     
Bromotopsentin,Cytochrome P450 2C9,CYP2C9,P11712,CHEMBL3397,Cytochrome P450,0.1132859535,15 /  0     
Bromotopsentin,Cytochrome P450 3A4,CYP3A4,P08684,CHEMBL340,Cytochrome P450,0.1132859535,18 /  0     
Bromotopsentin,Cytochrome P450 2C19,CYP2C19,P33261,CHEMBL3622,Cytochrome P450,0.1132859535,7 /  0     
Bromotopsentin,Serine/threonine-protein kinase Nek1,NEK1,Q96PY6,CHEMBL5855,Kinase,0.1132859535,22 /  0     
Bromotopsentin,Phosphodiesterase 5A,PDE5A,O76074,CHEMBL1827,Phosphodiesterase,0.1132859535,72 /  0     
Bromotopsentin,Macrophage migration inhibitory factor,MIF,P14174,CHEMBL2085,Enzyme,0.1132859535,28 /  0     
Bromotopsentin,Monoglyceride lipase,MGLL,Q99685,CHEMBL4191,Enzyme,0.1132859535,53 /  0     
Bromotopsentin,Voltage-gated potassium channel subunit Kv1.5,KCNA5,P22460,CHEMBL4306,Voltage-gated ion channel,0.1132859535,40 /  0     
Bromotopsentin,Voltage-gated potassium channel subunit Kv1.3,KCNA3,P22001,CHEMBL4633,Voltage-gated ion channel,0.1132859535,21 /  0     
Bromotopsentin,G-protein coupled receptor 55,GPR55,Q9Y2T6,CHEMBL1075322,Family A G protein-coupled receptor,0.1132859535,11 /  0     
Bromotopsentin,Serotonin 1b (5-HT1b) receptor,HTR1B,P28222,CHEMBL1898,Family A G protein-coupled receptor,0.1132859535,198 /  0     
Bromotopsentin,SUMO-activating enzyme,SAE1 UBA2,Q9UBE0 Q9UBT2,CHEMBL2095174,Enzyme,0.1132859535,6 /  0     
Bromotopsentin,Epoxide hydratase,EPHX2,P34913,CHEMBL2409,Protease,0.1132859535,102 /  0     
Bromotopsentin,Cannabinoid receptor 2,CNR2,P34972,CHEMBL253,Family A G protein-coupled receptor,0.1132859535,157 /  0     
Bromotopsentin,Matrix metalloproteinase 3,MMP3,P08254,CHEMBL283,Protease,0.1132859535,242 /  0     
Bromotopsentin,"Nitric-oxide synthase, brain",NOS1,P29475,CHEMBL3568,Enzyme,0.1132859535,67 /  0     
Bromotopsentin,"Nitric-oxide synthase, endothelial",NOS3,P29474,CHEMBL4803,Enzyme,0.1132859535,21 /  0     
Bromotopsentin,Kinesin-1 heavy chain/ Tyrosine-protein kinase receptor RET,RET,P07949,CHEMBL2041,Kinase,0.1132859535,46 /  0     
